sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
7a613643598c07a5fd54,0,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.34502896666526794,-0.8229078054428101,-0.4778788387775421,0.4778788387775421,1,1,0,28,36,0.7777777777777778,4,4,0.051888083063685524,0.053821563495186214,0.972564811477173,0.9725490720374099
7a613643598c07a5fd54,1,32,128,8886, Each,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.621045708656311,-2.562291383743286,-0.9412456750869751,0.9412456750869751,1,4,3,22,42,0.5238095238095238,10,10,0.047563951504761726,0.08043610107896082,0.8836184408427729,0.8802967526754795
7a613643598c07a5fd54,2,32,128,1681, request,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.046241242438554764,-0.08994877338409424,-0.043707530945539474,0.043707530945539474,1,1,0,22,42,0.5238095238095238,10,10,0.007807380181007274,0.01274100358630845,0.9997989654930602,0.999791000777696
7a613643598c07a5fd54,3,32,128,4990, takes,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.1941745281219482,-1.5812547206878662,-0.38708019256591797,0.38708019256591797,2,1,-1,23,41,0.5609756097560976,9,9,0.0696808023515723,0.0958004028413795,0.8987966434771768,0.8952649047597863
7a613643598c07a5fd54,4,32,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.14956454932689667,-0.41190823912620544,-0.2623436897993088,0.2623436897993088,1,1,0,22,42,0.5238095238095238,10,10,0.04108556373944951,0.045394122235500475,0.9799850610037453,0.9799675910125256
7a613643598c07a5fd54,5,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.2780414819717407,-1.5720409154891968,-0.29399943351745605,0.29399943351745605,1,2,1,17,47,0.3617021276595745,15,15,0.005222494589804158,0.005290499088573202,0.9841253912670659,0.9841253806347667
7a613643598c07a5fd54,6,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0004489606071729213,-0.014466989785432816,-0.014018029178259894,0.014018029178259894,1,1,0,20,44,0.45454545454545453,12,12,0.00360112504549573,0.0038997188297485246,0.9999848232325262,0.9999847855361896
7a613643598c07a5fd54,7,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.7510665655136108,-0.5046951174736023,0.24637144804000854,0.24637144804000854,1,1,0,25,39,0.6410256410256411,7,7,0.011126515825154296,0.011506234744296262,0.9836468073348239,0.9836464716831569
7a613643598c07a5fd54,8,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.8254694938659668,-0.51865553855896,0.30681395530700684,0.30681395530700684,1,1,0,21,43,0.4883720930232558,11,11,0.01464758058135273,0.014682181371435175,0.9802107889442766,0.9802107874021276
7a613643598c07a5fd54,9,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.621624231338501,-1.075178861618042,0.546445369720459,0.546445369720459,1,1,0,26,38,0.6842105263157895,6,6,0.018703490635510755,0.018720107822985402,0.9275245312585843,0.9275245301644174
7a613643598c07a5fd54,10,32,128,17,2,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.8223000764846802,-1.9645508527755737,-0.14225077629089355,0.14225077629089355,1,3,2,24,40,0.6,8,8,0.030116386567124204,0.03016253096887466,0.8735196932466176,0.8735196865404342
7a613643598c07a5fd54,11,32,128,6486, seconds,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.9153623580932617,-0.9674320220947266,-0.052069664001464844,0.052069664001464844,1,1,0,26,38,0.6842105263157895,6,6,0.009087283162282078,0.00963400251574505,0.9960763151788705,0.9960753837175231
7a613643598c07a5fd54,12,32,128,311, to,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1255960911512375,-0.3430754244327545,-0.21747933328151703,0.21747933328151703,1,1,0,25,39,0.6410256410256411,7,7,0.03760089040939728,0.03791498036167881,0.9880107519310826,0.9880106463824845
7a613643598c07a5fd54,13,32,128,1882, process,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.12347834557294846,-0.4571826457977295,-0.33370430022478104,0.33370430022478104,1,1,0,21,43,0.4883720930232558,11,11,0.07420045849884932,0.07632901287094672,0.939994052057052,0.9399904426096122
